Roll Number,Name of Category of Admission Test,Marks Obtained
5001,Pre-Engineering (PU-E),56
5004,Pre-Engineering (PU-E),46
5007,Pre-Engineering (PU-E),73
5008,"Arts, Humanities & Social Sciences (PU-AHS)",60
5009,"Arts, Humanities & Social Sciences (PU-AHS)",58
5010,"Arts, Humanities & Social Sciences (PU-AHS)",71
5011,"Arts, Humanities & Social Sciences (PU-AHS)",54
5012,"Arts, Humanities & Social Sciences (PU-AHS)",54
5013,"Arts, Humanities & Social Sciences (PU-AHS)",0
5014,"Arts, Humanities & Social Sciences (PU-AHS)",54
5016,"Arts, Humanities & Social Sciences (PU-AHS)",27
5017,"Arts, Humanities & Social Sciences (PU-AHS)",63
5018,"Arts, Humanities & Social Sciences (PU-AHS)",0
5019,"Arts, Humanities & Social Sciences (PU-AHS)",0
5020,"Arts, Humanities & Social Sciences (PU-AHS)",0
5021,"Arts, Humanities & Social Sciences (PU-AHS)",39
5023,"Arts, Humanities & Social Sciences (PU-AHS)",28
5024,"Arts, Humanities & Social Sciences (PU-AHS)",60
5025,"Arts, Humanities & Social Sciences (PU-AHS)",0
5026,"Arts, Humanities & Social Sciences (PU-AHS)",0
5027,"Arts, Humanities & Social Sciences (PU-AHS)",57
5028,"Arts, Humanities & Social Sciences (PU-AHS)",0
5029,"Arts, Humanities & Social Sciences (PU-AHS)",0
5030,"Arts, Humanities & Social Sciences (PU-AHS)",53
5031,"Arts, Humanities & Social Sciences (PU-AHS)",54
5032,"Arts, Humanities & Social Sciences (PU-AHS)",55
5034,"Arts, Humanities & Social Sciences (PU-AHS)",51
5035,"Arts, Humanities & Social Sciences (PU-AHS)",0
5036,"Arts, Humanities & Social Sciences (PU-AHS)",0
5037,"Arts, Humanities & Social Sciences (PU-AHS)",70
5038,"Arts, Humanities & Social Sciences (PU-AHS)",34
5039,"Arts, Humanities & Social Sciences (PU-AHS)",34
5040,"Arts, Humanities & Social Sciences (PU-AHS)",43
5041,"Arts, Humanities & Social Sciences (PU-AHS)",55
5042,"Arts, Humanities & Social Sciences (PU-AHS)",55
5043,"Arts, Humanities & Social Sciences (PU-AHS)",43
5044,"Arts, Humanities & Social Sciences (PU-AHS)",48
5045,"Arts, Humanities & Social Sciences (PU-AHS)",0
5047,"Arts, Humanities & Social Sciences (PU-AHS)",40
5050,"Arts, Humanities & Social Sciences (PU-AHS)",0
5051,"Arts, Humanities & Social Sciences (PU-AHS)",0
5054,"Arts, Humanities & Social Sciences (PU-AHS)",0
5056,"Arts, Humanities & Social Sciences (PU-AHS)",56
5059,"Arts, Humanities & Social Sciences (PU-AHS)",0
5060,"Arts, Humanities & Social Sciences (PU-AHS)",39
5061,"Arts, Humanities & Social Sciences (PU-AHS)",0
5062,"Arts, Humanities & Social Sciences (PU-AHS)",67
5064,"Arts, Humanities & Social Sciences (PU-AHS)",0
5065,"Arts, Humanities & Social Sciences (PU-AHS)",0
5066,"Arts, Humanities & Social Sciences (PU-AHS)",39
5067,"Arts, Humanities & Social Sciences (PU-AHS)",60
5068,"Arts, Humanities & Social Sciences (PU-AHS)",60
5069,"Arts, Humanities & Social Sciences (PU-AHS)",35
5070,"Arts, Humanities & Social Sciences (PU-AHS)",59
5071,"Arts, Humanities & Social Sciences (PU-AHS)",59
5072,"Arts, Humanities & Social Sciences (PU-AHS)",44
5074,"Arts, Humanities & Social Sciences (PU-AHS)",0
5075,ICS with Physics Combination (PU-CSP),42
5076,ICS with Physics Combination (PU-CSP),51
5078,ICS with Physics Combination (PU-CSP),43
5079,ICS with Physics Combination (PU-CSP),51
5080,ICS with Physics Combination (PU-CSP),45
5081,ICS with Physics Combination (PU-CSP),0
5082,ICS with Physics Combination (PU-CSP),42
5083,ICS with Physics Combination (PU-CSP),71
5084,ICS with Physics Combination (PU-CSP),30
5086,ICS with Physics Combination (PU-CSP),0
5087,ICS with Physics Combination (PU-CSP),0
5088,ICS with Physics Combination (PU-CSP),46
5089,ICS with Physics Combination (PU-CSP),0
5090,ICS with Physics Combination (PU-CSP),0
5091,ICS with Physics Combination (PU-CSP),32
5092,ICS with Physics Combination (PU-CSP),32
5093,ICS with Physics Combination (PU-CSP),49
5094,ICS with Physics Combination (PU-CSP),58
5095,ICS with Physics Combination (PU-CSP),51
5097,ICS with Physics Combination (PU-CSP),0
5098,ICS with Physics Combination (PU-CSP),35
5100,ICS with Physics Combination (PU-CSP),51
5102,ICS with Physics Combination (PU-CSP),32
5104,ICS with Physics Combination (PU-CSP),45
5105,ICS with Physics Combination (PU-CSP),54
5106,ICS with Physics Combination (PU-CSP),0
5107,ICS with Physics Combination (PU-CSP),36
5108,ICS with Physics Combination (PU-CSP),45
5109,ICS with Physics Combination (PU-CSP),45
5110,ICS with Physics Combination (PU-CSP),53
5111,ICS with Physics Combination (PU-CSP),53
5112,ICS with Physics Combination (PU-CSP),41
5115,ICS with Physics Combination (PU-CSP),39
5116,ICS with Physics Combination (PU-CSP),43
5118,ICS with Physics Combination (PU-CSP),56
5119,ICS with Physics Combination (PU-CSP),61
5120,ICS with Physics Combination (PU-CSP),37
5121,ICS with Physics Combination (PU-CSP),35
5122,ICS with Physics Combination (PU-CSP),57
5123,ICS with Physics Combination (PU-CSP),35
5124,ICS with Physics Combination (PU-CSP),36
5126,ICS with Physics Combination (PU-CSP),44
5127,ICS with Physics Combination (PU-CSP),51
5128,ICS with Physics Combination (PU-CSP),24
5129,ICS with Physics Combination (PU-CSP),37
5130,ICS with Physics Combination (PU-CSP),0
5131,ICS with Physics Combination (PU-CSP),52
